Do you prefer a structured or flexible work environment?,Are you more comfortable with a formal or casual work atmosphere?,How do you prefer to collaborate with colleagues?,Are you more productive when working independently or as part of a team?,"Do you prefer a hands-on, directive management style, or do you prefer more autonomy and freedom?",How do you respond to feedback and guidance from supervisors?,"How important is work-life balance to you, and what initiatives or policies do you appreciate in this regard?",What values do you prioritize in a workplace?,How important is it for you to work for a company that aligns with your personal values and beliefs?,What are your expectations regarding career development opportunities within a company?,"How do you respond to constructive feedback, and what type of feedback culture do you thrive in?",How do you prefer to celebrate successes and achievements in the workplace?,Company
Flexible,Formal,Face-to-face,Part of a team,Autonomy,Independence,Moderately important,Diversity and inclusivity,Moderately important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Team celebrations and recognition,Mphasis
Flexible,Formal,Combination,Independently,Hands-on,Regular check-ins,Moderately important,Diversity and inclusivity,Moderately important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Team celebrations and recognition,Wipro
Structured,Formal,Combination,Independently,Autonomy,Independence,Very important,Sustainability,Moderately important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Personal recognition and rewards,TCS
Structured,Formal,Virtually,Independently,Hands-on,Regular check-ins,Very important,Innovation,Moderately important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Personal recognition and rewards,Microsoft
Flexible,Casual,Face-to-face,Part of a team,Hands-on,Regular check-ins,Very important,Diversity and inclusivity,Not important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Team celebrations and recognition,TCS
Flexible,Formal,Virtually,Independently,Autonomy,Regular check-ins,Very important,Innovation,Very important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,TCS
Structured,Casual,Combination,Independently,Hands-on,Regular check-ins,Very important,Innovation,Very important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Team celebrations and recognition,HCL Technologies
Flexible,Casual,Combination,Independently,Autonomy,Regular check-ins,Very important,Sustainability,Not important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,TCS
Structured,Casual,Face-to-face,Independently,Hands-on,Independence,Very important,Diversity and inclusivity,Moderately important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Team celebrations and recognition,TCS
Flexible,Formal,Face-to-face,Part of a team,Hands-on,Independence,Moderately important,Sustainability,Very important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,Cognizant
Structured,Casual,Combination,Independently,Hands-on,Independence,Very important,Innovation,Moderately important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Promotion,Mphasis
Flexible,Casual,Face-to-face,Independently,Hands-on,Regular check-ins,Very important,Diversity and inclusivity,Very important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Promotion,Mphasis
Structured,Casual,Face-to-face,Part of a team,Hands-on,Independence,Not important,Diversity and inclusivity,Very important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Personal recognition and rewards,Mphasis
Flexible,Casual,Combination,Part of a team,Hands-on,Independence,Moderately important,Sustainability,Very important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Team celebrations and recognition,TCS
Flexible,Formal,Virtually,Independently,Autonomy,Regular check-ins,Very important,Sustainability,Not important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Promotion,Wipro
Flexible,Casual,Combination,Independently,Autonomy,Independence,Not important,Innovation,Moderately important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Personal recognition and rewards,ZOHO
Flexible,Formal,Virtually,Part of a team,Hands-on,Independence,Very important,Sustainability,Very important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,HCL Technologies
Flexible,Formal,Virtually,Part of a team,Autonomy,Independence,Very important,Innovation,Not important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Personal recognition and rewards,HCL Technologies
Structured,Casual,Combination,Independently,Autonomy,Independence,Very important,Innovation,Not important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Personal recognition and rewards,TCS
Structured,Casual,Face-to-face,Independently,Hands-on,Regular check-ins,Not important,Diversity and inclusivity,Very important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Team celebrations and recognition,Honeywell
Flexible,Formal,Combination,Independently,Hands-on,Regular check-ins,Moderately important,Sustainability,Not important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Personal recognition and rewards,ZOHO
Flexible,Casual,Face-to-face,Part of a team,Hands-on,Independence,Moderately important,Innovation,Moderately important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Personal recognition and rewards,Wipro
Structured,Formal,Virtually,Independently,Autonomy,Independence,Not important,Sustainability,Very important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Personal recognition and rewards,LTIMindtree
Flexible,Casual,Face-to-face,Part of a team,Autonomy,Independence,Very important,Sustainability,Moderately important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Personal recognition and rewards,Wipro
Structured,Casual,Virtually,Independently,Autonomy,Regular check-ins,Not important,Diversity and inclusivity,Very important,Strong opportunities for growth and advancement,Open to feedback and appreciate a culture of continuous improvement,Promotion,Wipro
Flexible,Formal,Combination,Independently,Autonomy,Independence,Moderately important,Diversity and inclusivity,Moderately important,Strong opportunities for growth and advancement,Prefer positive reinforcement and recognition for achievements,Promotion,Honeywell
Structured,Formal,Combination,Part of a team,Autonomy,Regular check-ins,Moderately important,Diversity and inclusivity,Not important,Structured training programs and mentorship opportunities,Open to feedback and appreciate a culture of continuous improvement,Personal recognition and rewards,ZOHO
Flexible,Casual,Combination,Part of a team,Autonomy,Regular check-ins,Not important,Diversity and inclusivity,Moderately important,Structured training programs and mentorship opportunities,Prefer positive reinforcement and recognition for achievements,Promotion,Microsoft
